npoints,time,amount_of_fails,start,end,start_label,end_label
50,2.637386000016704,9,[320  50],[500 150],mudroom,garage
50,0.8830758999101818,2,[500 150],[220  50],garage,study
50,0.8586781000485644,2,[320 280],[500 350],nook,driveway
50,0.24756399996113032,0,[200 350],[100 350],patio,garden
50,1.553139099967666,5,[220 200],[220  50],living,study
50,1.875616200035438,6,[500 350],[100 350],driveway,garden
50,1.1060402999864891,3,[500 350],[220 200],driveway,living
50,0.3096734000137076,0,[200 350],[ 50 220],patio,br1
50,0.7500068000517786,2,[320 280],[220  50],nook,study
50,0.469220400089398,1,[500 350],[220 200],driveway,living
50,0.5948314999695867,1,[200 350],[500 350],patio,driveway
50,1.0438395000528544,3,[320 280],[100 350],nook,garden
50,0.23499610007274896,0,[500 150],[100 350],garage,garden
50,0.8031199000542983,2,[500 350],[200 350],driveway,patio
50,1.3735937000019476,4,[200 350],[320  50],patio,mudroom
50,1.318859999999404,4,[200 350],[320 280],patio,nook
50,1.643394000013359,5,[200 350],[320 280],patio,nook
50,0.7773701000260189,2,[320 280],[320 190],nook,kitchen
50,0.27781799994409084,0,[320 280],[500 350],nook,driveway
50,2.888880099984817,10,[100 350],[500 350],garden,driveway
50,6.821427300106734,23,[220 200],[200 350],living,patio
50,1.0754626999842003,3,[200 350],[100 350],patio,garden
50,1.3951708999229595,4,[220 200],[320 190],living,kitchen
50,0.26931030000559986,0,[320 280],[500 350],nook,driveway
50,1.5957302999449894,5,[500 350],[100 350],driveway,garden
50,0.5220935000106692,1,[220 200],[500 350],living,driveway
50,2.9416554999770597,10,[100 350],[ 50 220],garden,br1
50,2.227087300037965,8,[200 350],[320 190],patio,kitchen
50,0.5576227999990806,1,[220 200],[500 350],living,driveway
50,1.9932860999833792,6,[320  50],[200 350],mudroom,patio
50,1.3050617000553757,4,[320 280],[220  50],nook,study
50,0.5257211999269202,1,[200 350],[500 350],patio,driveway
50,0.5163334000390023,1,[50 50],[120  50],br3,br2
50,1.0758696999400854,3,[220 200],[500 150],living,garage
50,1.5758528000442311,5,[220  50],[220 200],study,living
50,2.8783207000233233,10,[220  50],[320 280],study,nook
50,0.6077640999574214,1,[320 280],[320 190],nook,kitchen
50,2.6100537999300286,9,[220 200],[500 150],living,garage
50,0.2650948000373319,0,[220 200],[500 350],living,driveway
50,1.3958285000408068,4,[320 280],[200 350],nook,patio
50,0.8363615000853315,2,[ 50 220],[500 350],br1,driveway
50,0.30132560001220554,0,[200 350],[220 200],patio,living
50,0.5730857999296859,1,[200 350],[220 200],patio,living
50,1.5840856999857351,5,[100 350],[200 350],garden,patio
50,1.669887199997902,5,[200 350],[320 280],patio,nook
50,0.8391706000547856,2,[320 190],[320  50],kitchen,mudroom
50,3.7467581999953836,13,[200 350],[220 200],patio,living
50,2.9312264000764117,10,[500 150],[500 350],garage,driveway
50,0.8390463999239728,2,[220 200],[200 350],living,patio
50,1.5392844000598416,5,[320 280],[100 350],nook,garden
100,1.1017460000002757,0,[320  50],[ 50 220],mudroom,br1
100,0.9776789000025019,0,[100 350],[500 350],garden,driveway
100,4.19085640006233,3,[ 50 220],[320 190],br1,kitchen
100,3.0131773999892175,2,[100 350],[200 350],garden,patio
100,4.206795000005513,3,[220  50],[200 350],study,patio
100,0.9730611999984831,0,[50 50],[320 280],br3,nook
100,2.293046799954027,1,[120  50],[200 350],br2,patio
100,0.9552839000243694,0,[220 200],[500 350],living,driveway
100,4.323439100058749,3,[320 280],[220 200],nook,living
100,2.2265939000062644,1,[ 50 220],[500 150],br1,garage
100,2.133798999944702,1,[320 190],[200 350],kitchen,patio
100,2.1625522000249475,1,[320  50],[500 150],mudroom,garage
100,1.9874087000498548,1,[100 350],[220  50],garden,study
100,1.0885090000228956,0,[320 280],[500 350],nook,driveway
